company_id,allocation_quality,allocation_comment,allocation_score
DABUR,Excellent,Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,85
ADANIPORTS,Weak,Business requires significant capital investment.,40
TATASTEEL,Poor,Low shareholder returns. Weak capital efficiency. Business requires modest capital investment.,30
COALINDIA,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
HDFCBANK,Weak,Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment.,35
RELIANCE,Weak,Low shareholder returns.,35
RECLTD,Average,Strong shareholder returns. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment.,50
BAJAJ-AUTO,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
BOSCHLTD,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
JSWENERGY,Poor,Low shareholder returns. High leverage may reduce flexibility. Business requires significant capital investment.,15
JSWSTEEL,Average,High leverage may reduce flexibility. Business requires modest capital investment.,50
POWERGRID,Poor,High leverage may reduce flexibility. Business requires significant capital investment.,30
LODHA,Weak,Low shareholder returns. Balance sheet remains conservative. Business requires significant capital investment.,35
LICI,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
KOTAKBANK,Poor,Weak capital efficiency. High leverage may reduce flexibility.,25
BHEL,Weak,Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Business requires modest capital investment.,40
TCS,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
TITAN,Excellent,Strong shareholder returns. Capital employed efficiently. High leverage may reduce flexibility. Business requires modest capital investment.,80
HAL,Excellent,Strong shareholder returns. Capital employed efficiently.,80
DIVISLAB,Strong,Balance sheet remains conservative. Business requires modest capital investment.,70
HCLTECH,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
BEL,Strong,Strong shareholder returns. Capital employed efficiently. Business requires significant capital investment.,70
LT,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
PNB,Strong,Strong shareholder returns. High leverage may reduce flexibility. Business requires modest capital investment.,65
AXISBANK,Weak,Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment.,35
LTIM,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative.,90
PFC,Average,Strong shareholder returns. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment.,50
BAJAJFINSV,Strong,Strong shareholder returns. High leverage may reduce flexibility. Business requires modest capital investment.,65
BHARTIARTL,Weak,Capital employed efficiently. High leverage may reduce flexibility. Business requires significant capital investment.,45
MARUTI,Excellent,Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,85
M&M,Average,High leverage may reduce flexibility. Business requires modest capital investment.,50
MOTHERSON,Strong,Capital employed efficiently. Business requires modest capital investment.,75
GAIL,Strong,Balance sheet remains conservative. Business requires modest capital investment.,70
TECHM,Average,Low shareholder returns. Balance sheet remains conservative. Business requires modest capital investment.,55
ADANIGREEN,Poor,High leverage may reduce flexibility. Business requires significant capital investment.,30
GRASIM,Weak,High leverage may reduce flexibility.,40
GODREJCP,Poor,Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative.,30
BANKBARODA,Weak,Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment.,35
ONGC,Excellent,Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,85
PIDILITIND,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative.,90
NAUKRI,Poor,Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Business requires significant capital investment.,20
NHPC,Poor,Weak capital efficiency. Business requires significant capital investment.,25
ADANIENSOL,Poor,Low shareholder returns. High leverage may reduce flexibility. Business requires significant capital investment.,15
ABB,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
TRENT,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
INDIGO,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative.,90
ADANIENT,Poor,Low shareholder returns. High leverage may reduce flexibility.,25
