company_id,overall_rating,overall_score,narrative
ICICIBANK,Weak,30.75,ICICIBANK demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires significant capital investment. Key concern: high leverage levels. Overall rating: Weak.
CHOLAFIN,Poor,17.5,CHOLAFIN demonstrates healthy revenue growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Key concern: high leverage levels. Overall rating: Poor.
SUNPHARMA,Strong,69.5,SUNPHARMA demonstrates efficient capital allocation. Operating cash flow remains positive. Business converts profits into cash efficiently. Reported earnings may not be strongly supported by cash generation. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
AMBUJACEM,Weak,43.5,AMBUJACEM demonstrates conservative balance sheet. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Balance sheet remains conservative. Business requires significant capital investment. Key concern: slow revenue growth. Overall rating: Weak.
ICICIPRULI,Weak,38.0,ICICIPRULI demonstrates efficient capital allocation. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low shareholder returns. Overall rating: Weak.
CANBK,Weak,37.5,CANBK demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Weak.
BRITANNIA,Strong,70.25,BRITANNIA demonstrates strong return on equity. Operating cash flow remains positive. Business converts profits into cash efficiently. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
INDUSINDBK,Poor,21.5,INDUSINDBK demonstrates healthy revenue growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
SHRIRAMFIN,Poor,21.5,SHRIRAMFIN demonstrates healthy revenue growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
APOLLOHOSP,Average,51.0,APOLLOHOSP demonstrates efficient capital allocation. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Capital employed efficiently. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Average.
IOC,Strong,64.25,IOC demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
INFY,Strong,68.25,INFY demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
HEROMOTOCO,Strong,66.0,HEROMOTOCO demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: slow revenue growth. Overall rating: Strong.
HDFCLIFE,Average,54.75,HDFCLIFE demonstrates efficient capital allocation. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Capital employed efficiently. Balance sheet remains conservative. Key concern: weak profit growth. Overall rating: Average.
TATAPOWER,Weak,37.0,TATAPOWER demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. High leverage may reduce flexibility. Key concern: high leverage levels. Overall rating: Weak.
TATAMOTORS,Average,59.0,TATAMOTORS demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Average.
ADANIPOWER,Strong,70.25,ADANIPOWER demonstrates strong return on equity. Operating cash flow remains positive. Business converts profits into cash efficiently. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
SHREECEM,Average,51.5,SHREECEM demonstrates efficient capital allocation. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low shareholder returns. Overall rating: Average.
SIEMENS,Average,57.5,SIEMENS demonstrates efficient capital allocation. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Average.
IRCTC,Strong,66.0,IRCTC demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Strong.
BPCL,Strong,64.25,BPCL demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
ITC,Strong,68.25,ITC demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
ASIANPAINT,Strong,64.75,ASIANPAINT demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Strong.
SBILIFE,Average,46.25,SBILIFE demonstrates conservative balance sheet. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Balance sheet remains conservative. Key concern: weak cash conversion. Overall rating: Average.
IRFC,Weak,37.5,IRFC demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Weak.
JIOFIN,Poor,15.5,JIOFIN demonstrates conservative balance sheet. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Business requires significant capital investment. Key concern: low shareholder returns. Overall rating: Poor.
JINDALSTEL,Average,45.0,JINDALSTEL demonstrates conservative balance sheet. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Balance sheet remains conservative. Key concern: slow revenue growth. Overall rating: Average.
HAVELLS,Average,56.25,HAVELLS demonstrates efficient capital allocation. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Average.
DABUR,Average,57.5,DABUR demonstrates efficient capital allocation. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak profit growth. Overall rating: Average.
ADANIPORTS,Weak,41.75,ADANIPORTS demonstrates healthy revenue growth. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Business requires significant capital investment. Key concern: low earnings quality. Overall rating: Weak.
TATASTEEL,Weak,33.0,TATASTEEL demonstrates stable operating profile. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Weak capital efficiency. Business requires modest capital investment. Key concern: weak interest coverage. Overall rating: Weak.
COALINDIA,Strong,64.75,COALINDIA demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Strong.
HDFCBANK,Weak,37.5,HDFCBANK demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Weak.
RELIANCE,Weak,33.75,RELIANCE demonstrates stable operating profile. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Key concern: low shareholder returns. Overall rating: Weak.
RECLTD,Poor,27.5,RECLTD demonstrates strong return on equity. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
BAJAJ-AUTO,Strong,68.25,BAJAJ-AUTO demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
BOSCHLTD,Strong,68.25,BOSCHLTD demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
JSWENERGY,Weak,32.0,JSWENERGY demonstrates strong profit growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. High leverage may reduce flexibility. Business requires significant capital investment. Key concern: high leverage levels. Overall rating: Weak.
JSWSTEEL,Weak,42.25,JSWSTEEL demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Weak.
POWERGRID,Weak,37.75,POWERGRID demonstrates stable operating profile. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. High leverage may reduce flexibility. Business requires significant capital investment. Key concern: high leverage levels. Overall rating: Weak.
LODHA,Weak,38.75,LODHA demonstrates conservative balance sheet. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Balance sheet remains conservative. Business requires significant capital investment. Key concern: slow revenue growth. Overall rating: Weak.
LICI,Strong,64.75,LICI demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Strong.
KOTAKBANK,Weak,32.25,KOTAKBANK demonstrates strong profit growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Key concern: high leverage levels. Overall rating: Weak.
BHEL,Poor,24.75,BHEL demonstrates conservative balance sheet. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak interest coverage. Overall rating: Poor.
TCS,Strong,68.25,TCS demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
TITAN,Average,56.75,TITAN demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Average.
HAL,Average,55.5,HAL demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Key concern: weak cash conversion. Overall rating: Average.
DIVISLAB,Average,50.25,DIVISLAB demonstrates conservative balance sheet. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak profit growth. Overall rating: Average.
HCLTECH,Strong,68.25,HCLTECH demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
BEL,Average,52.75,BEL demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Business requires significant capital investment. Key concern: weak cash conversion. Overall rating: Average.
LT,Strong,67.0,LT demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
PNB,Weak,37.0,PNB demonstrates strong return on equity. Negative operating cash flow is a warning sign. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Weak.
AXISBANK,Poor,20.25,AXISBANK demonstrates strong profit growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
LTIM,Strong,62.0,LTIM demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Key concern: weak cash conversion. Overall rating: Strong.
PFC,Poor,27.5,PFC demonstrates strong return on equity. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
BAJAJFINSV,Weak,34.75,BAJAJFINSV demonstrates strong return on equity. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Weak.
BHARTIARTL,Weak,41.5,BHARTIARTL demonstrates efficient capital allocation. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Capital employed efficiently. High leverage may reduce flexibility. Business requires significant capital investment. Key concern: high leverage levels. Overall rating: Weak.
MARUTI,Average,56.25,MARUTI demonstrates efficient capital allocation. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Average.
M&M,Poor,25.0,M&M demonstrates strong profit growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
MOTHERSON,Average,49.75,MOTHERSON demonstrates efficient capital allocation. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Capital employed efficiently. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Average.
GAIL,Average,49.0,GAIL demonstrates conservative balance sheet. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Average.
TECHM,Average,57.5,TECHM demonstrates conservative balance sheet. Operating cash flow remains positive. Business converts profits into cash efficiently. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low shareholder returns. Overall rating: Average.
ADANIGREEN,Weak,35.5,ADANIGREEN demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. High leverage may reduce flexibility. Business requires significant capital investment. Key concern: high leverage levels. Overall rating: Weak.
GRASIM,Poor,21.0,GRASIM demonstrates strong profit growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. High leverage may reduce flexibility. Key concern: high leverage levels. Overall rating: Poor.
GODREJCP,Weak,34.25,GODREJCP demonstrates conservative balance sheet. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Key concern: weak interest coverage. Overall rating: Weak.
BANKBARODA,Poor,21.5,BANKBARODA demonstrates healthy revenue growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
ONGC,Average,56.25,ONGC demonstrates efficient capital allocation. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Average.
PIDILITIND,Average,59.5,PIDILITIND demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Key concern: weak cash conversion. Overall rating: Average.
NAUKRI,Weak,34.0,NAUKRI demonstrates conservative balance sheet. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Business requires significant capital investment. Key concern: low shareholder returns. Overall rating: Weak.
NHPC,Weak,32.25,NHPC demonstrates strong interest coverage. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. Business requires significant capital investment. Key concern: slow revenue growth. Overall rating: Weak.
ADANIENSOL,Weak,32.0,ADANIENSOL demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. High leverage may reduce flexibility. Business requires significant capital investment. Key concern: high leverage levels. Overall rating: Weak.
ABB,Strong,69.5,ABB demonstrates strong return on equity. Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: low earnings quality. Overall rating: Strong.
TRENT,Strong,64.75,TRENT demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak cash conversion. Overall rating: Strong.
INDIGO,Strong,62.0,INDIGO demonstrates strong return on equity. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Key concern: weak cash conversion. Overall rating: Strong.
ADANIENT,Weak,34.75,ADANIENT demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. High leverage may reduce flexibility. Key concern: high leverage levels. Overall rating: Weak.
